disease_id,disease_name,gene_id,gene_symbol,gene_name,association_score
EFO_0000685,rheumatoid arthritis,ENSG00000105397,TYK2,tyrosine kinase 2,0.7517870740478155
EFO_0000685,rheumatoid arthritis,ENSG00000113302,IL12B,interleukin 12B,0.7327522713447271
EFO_0000685,rheumatoid arthritis,ENSG00000160712,IL6R,interleukin 6 receptor,0.732460258806829
EFO_0000685,rheumatoid arthritis,ENSG00000232810,TNF,tumor necrosis factor,0.7166256679552229
EFO_0000685,rheumatoid arthritis,ENSG00000056972,TRAF3IP2,TRAF3 interacting protein 2,0.7138603345449056
EFO_0000685,rheumatoid arthritis,ENSG00000240972,MIF,macrophage migration inhibitory factor,0.6976727531688605
EFO_0000685,rheumatoid arthritis,ENSG00000096968,JAK2,Janus kinase 2,0.6934326771029184
EFO_0000685,rheumatoid arthritis,ENSG00000162434,JAK1,Janus kinase 1,0.6903808968126417
EFO_0000685,rheumatoid arthritis,ENSG00000159339,PADI4,peptidyl arginine deiminase 4,0.6892861448435421
EFO_0000685,rheumatoid arthritis,ENSG00000134242,PTPN22,protein tyrosine phosphatase non-receptor type 22,0.6798611028661302
EFO_0000685,rheumatoid arthritis,ENSG00000128604,IRF5,interferon regulatory factor 5,0.6358812440641249
EFO_0000685,rheumatoid arthritis,ENSG00000073756,PTGS2,prostaglandin-endoperoxide synthase 2,0.6336887634143262
EFO_0000685,rheumatoid arthritis,ENSG00000110944,IL23A,interleukin 23 subunit alpha,0.6300030146144067
EFO_0000685,rheumatoid arthritis,ENSG00000112115,IL17A,interleukin 17A,0.6280826302236754
EFO_0000685,rheumatoid arthritis,ENSG00000113580,NR3C1,nuclear receptor subfamily 3 group C member 1,0.6264814767537767
EFO_0000685,rheumatoid arthritis,ENSG00000156738,MS4A1,membrane spanning 4-domains A1,0.6250888195859142
EFO_0000685,rheumatoid arthritis,ENSG00000196664,TLR7,toll like receptor 7,0.6245484325350175
EFO_0000685,rheumatoid arthritis,ENSG00000160856,FCRL3,Fc receptor like 3,0.6218361059371833
EFO_0000685,rheumatoid arthritis,ENSG00000239732,TLR9,toll like receptor 9,0.6213991990562341
