drug_id,disease_id,disease_name,max_phase,drug_name
CHEMBL1201823,EFO_0000685,rheumatoid arthritis,4.0,ABATACEPT
CHEMBL1201584,EFO_0000612,myocardial infarction,3.0,
CHEMBL271227,EFO_0001663,prostate carcinoma,4.0,ABIRATERONE ACETATE
CHEMBL404271,EFO_0000400,diabetes mellitus,4.0,ACARBOSE
CHEMBL404271,EFO_0000195,metabolic syndrome,3.0,ACARBOSE
CHEMBL112,HP_0001945,Fever,4.0,ACETAMINOPHEN
CHEMBL112,EFO_0004616,"osteoarthritis, knee",3.0,ACETAMINOPHEN
CHEMBL112,EFO_0003843,pain,4.0,ACETAMINOPHEN
CHEMBL1131,EFO_0000676,psoriasis,4.0,
CHEMBL551466,EFO_0000341,chronic obstructive pulmonary disease,4.0,ACLIDINIUM BROMIDE
CHEMBL1201580,EFO_0003898,ankylosing spondylitis,4.0,ADALIMUMAB
CHEMBL1201580,EFO_0000676,psoriasis,4.0,ADALIMUMAB
CHEMBL1201580,EFO_0000685,rheumatoid arthritis,4.0,ADALIMUMAB
CHEMBL1201580,EFO_0000729,ulcerative colitis,4.0,ADALIMUMAB
CHEMBL1265,EFO_0003894,acne,4.0,
CHEMBL2105712,EFO_0003060,non-small cell lung carcinoma,4.0,AFATINIB DIMALEATE
CHEMBL1742982,EFO_0001365,age-related macular degeneration,3.0,AFLIBERCEPT
CHEMBL714,EFO_0000341,chronic obstructive pulmonary disease,4.0,ALBUTEROL
CHEMBL1441059,EFO_0000341,chronic obstructive pulmonary disease,4.0,ALBUTEROL SULFATE
CHEMBL1201747,EFO_0005751,eye allergy,4.0,ALCAFTADINE
CHEMBL1201571,EFO_0000676,psoriasis,3.0,ALEFACEPT
CHEMBL2109540,Orphanet_309005,Disorder of lipid metabolism,3.0,ALIROCUMAB
CHEMBL2109540,HP_0003124,Hypercholesterolemia,3.0,ALIROCUMAB
CHEMBL3545059,EFO_0000537,hypertension,4.0,ALISKIREN FUMARATE
CHEMBL1467,EFO_0004274,gout,4.0,ALLOPURINOL
CHEMBL1467,EFO_0000565,leukemia,4.0,ALLOPURINOL
CHEMBL1467,EFO_0000574,lymphoma,4.0,ALLOPURINOL
CHEMBL661,EFO_0004262,panic disorder,4.0,
CHEMBL1201593,EFO_0003030,abscess,3.0,ALTEPLASE
CHEMBL1201593,EFO_0003827,pulmonary embolism,4.0,ALTEPLASE
CHEMBL1201593,EFO_0000712,stroke,4.0,ALTEPLASE
CHEMBL1111,EFO_0001361,pulmonary arterial hypertension,4.0,
CHEMBL1398126,EFO_0000537,hypertension,4.0,
CHEMBL1200402,EFO_0000537,hypertension,4.0,
CHEMBL501,EFO_0003888,attention deficit hyperactivity disorder,4.0,AMPHETAMINE SULFATE
CHEMBL1200759,EFO_0000479,essential thrombocythemia,4.0,
CHEMBL1399,EFO_0000305,breast carcinoma,4.0,ANASTROZOLE
CHEMBL231779,EFO_0000275,atrial fibrillation,4.0,APIXABAN
CHEMBL1471,EFO_0001378,multiple myeloma,3.0,APREPITANT
CHEMBL1471,EFO_0003060,non-small cell lung carcinoma,3.0,APREPITANT
CHEMBL1471,EFO_0004888,post operative nausea and vomiting,4.0,APREPITANT
CHEMBL1951071,EFO_0000341,chronic obstructive pulmonary disease,4.0,ARFORMOTEROL TARTRATE
CHEMBL1112,EFO_0003758,autism,4.0,ARIPIPRAZOLE
CHEMBL1201192,EFO_0005246,hypersomnia,3.0,ARMODAFINIL
