drug_id,drug_name,gene_symbol,target_chembl,action_type
CHEMBL19,METHAZOLAMIDE,CA7,CHEMBL2326,INHIBITOR
CHEMBL1201117,METHOCARBAMOL,CA1,CHEMBL261,INHIBITOR
CHEMBL1200814,ACETAZOLAMIDE SODIUM,CA1,CHEMBL261,INHIBITOR
CHEMBL17,DICHLORPHENAMIDE,CA1,CHEMBL261,INHIBITOR
CHEMBL20,ACETAZOLAMIDE,CA1,CHEMBL261,INHIBITOR
CHEMBL19,METHAZOLAMIDE,CA1,CHEMBL261,INHIBITOR
CHEMBL1450,ATOVAQUONE,MT-CYB,CHEMBL1777,INHIBITOR
CHEMBL1200771,TRIDIHEXETHYL CHLORIDE,CHRM3,CHEMBL245,ANTAGONIST
CHEMBL1722209,TOLTERODINE TARTRATE,CHRM3,CHEMBL245,ANTAGONIST
CHEMBL1240,PROPANTHELINE BROMIDE,CHRM3,CHEMBL245,ANTAGONIST
CHEMBL1200906,OXYPHENONIUM BROMIDE,CHRM3,CHEMBL245,ANTAGONIST
CHEMBL1724,MEPENZOLATE BROMIDE,CHRM3,CHEMBL245,ANTAGONIST
CHEMBL1626570,HEXOCYCLIUM METHYLSULFATE,CHRM3,CHEMBL245,ANTAGONIST
CHEMBL1200880,DIPHEMANIL METHYLSULFATE,CHRM3,CHEMBL245,ANTAGONIST
CHEMBL1200479,DICYCLOMINE HYDROCHLORIDE,CHRM3,CHEMBL245,ANTAGONIST
CHEMBL1768,BETHANECHOL CHLORIDE,CHRM3,CHEMBL245,AGONIST
CHEMBL1578,ANISOTROPINE METHYLBROMIDE,CHRM3,CHEMBL245,ANTAGONIST
CHEMBL2146146,ATROPINE SULFATE,CHRM3,CHEMBL245,ANTAGONIST
CHEMBL517712,ATROPINE,CHRM3,CHEMBL245,ANTAGONIST
CHEMBL1200604,TROPICAMIDE,CHRM3,CHEMBL245,ANTAGONIST
CHEMBL1200803,SOLIFENACIN SUCCINATE,CHRM3,CHEMBL245,ANTAGONIST
CHEMBL1200935,DARIFENACIN HYDROBROMIDE,CHRM3,CHEMBL245,ANTAGONIST
CHEMBL551466,ACLIDINIUM BROMIDE,CHRM3,CHEMBL245,ANTAGONIST
CHEMBL1200764,METHACHOLINE CHLORIDE,CHRM3,CHEMBL245,AGONIST
CHEMBL3545181,TIOTROPIUM BROMIDE,CHRM3,CHEMBL245,ANTAGONIST
CHEMBL1201765,FESOTERODINE FUMARATE,CHRM3,CHEMBL245,ANTAGONIST
CHEMBL1200473,CYCLOPENTOLATE HYDROCHLORIDE,CHRM3,CHEMBL245,ANTAGONIST
CHEMBL1184,ACETYLCHOLINE CHLORIDE,CHRM3,CHEMBL245,AGONIST
CHEMBL14,CARBACHOL,CHRM3,CHEMBL245,AGONIST
CHEMBL550,PILOCARPINE,CHRM3,CHEMBL245,AGONIST
CHEMBL1200330,PILOCARPINE HYDROCHLORIDE,CHRM3,CHEMBL245,AGONIST
CHEMBL2218917,CEVIMELINE HYDROCHLORIDE,CHRM3,CHEMBL245,AGONIST
CHEMBL1200950,CLIDINIUM BROMIDE,CHRM3,CHEMBL245,ANTAGONIST
CHEMBL2134724,IPRATROPIUM BROMIDE,CHRM3,CHEMBL245,ANTAGONIST
CHEMBL1354199,METHSCOPOLAMINE BROMIDE,CHRM3,CHEMBL245,ANTAGONIST
CHEMBL1231,OXYBUTYNIN,CHRM3,CHEMBL245,ANTAGONIST
CHEMBL1133,OXYBUTYNIN CHLORIDE,CHRM3,CHEMBL245,ANTAGONIST
CHEMBL1200891,OXYPHENCYCLIMINE HYDROCHLORIDE,CHRM3,CHEMBL245,ANTAGONIST
