gene_a,gene_b,score
CFTR,GUCY2C,0.825
CFTR,SLC9A3,0.828
CFTR,HDAC6,0.848
CFTR,ANO1,0.882
CFTR,SLC26A3,0.888
CFTR,PRKAG2,0.905
CD4,CTNNB1,0.7
CD4,LYN,0.7
CD4,APOE,0.701
CD4,TP53,0.703
CD4,IL10RA,0.708
CD4,ADORA2A,0.709
CD4,TNFSF13B,0.714
CD4,IL21,0.716
CD4,TSLP,0.718
CD4,TNFSF4,0.721
CD4,EOMES,0.722
CD4,TNFSF11,0.726
CD4,ITGB7,0.728
CD4,LGALS9,0.728
CD4,SRC,0.728
CD4,CCL20,0.731
CD4,CCR4,0.736
CD4,JAK3,0.738
CD4,JAK1,0.74
CD4,ITGA4,0.74
CD4,IL1R1,0.743
CD4,IRF4,0.745
CD4,PECAM1,0.746
CD4,FURIN,0.749
CD4,CD83,0.754
CD4,CSF1R,0.755
CD4,IFNA17,0.756
CD4,TIGIT,0.757
CD4,IL12RB2,0.76
CD4,CX3CR1,0.77
CD4,DPP4,0.774
CD4,TNFRSF8,0.776
CD4,KIT,0.778
CD4,IL17RA,0.779
CD4,IL4R,0.78
CD4,CCND1,0.781
CD4,PMEL,0.782
CD4,SELP,0.782
CD4,PTPN11,0.783
CD4,TLR3,0.786
CD4,BST2,0.788
CD4,IFNA2,0.788
CD4,PTPN22,0.793
CD4,TNFRSF1A,0.797
CD4,IL23R,0.804
CD4,CD6,0.811
CD4,MME,0.816
CD4,CXCL12,0.825
CD4,STAT4,0.832
CD4,STAT5B,0.833
CD4,HAVCR2,0.833
CD4,TLR7,0.834
CD4,CD22,0.836
CD4,BCL2,0.837
CD4,FCGR2A,0.837
CD4,AKT1,0.839
CD4,CCL2,0.839
CD4,FAS,0.84
CD4,CD209,0.84
CD4,NFKB1,0.858
CD4,TLR9,0.868
CD4,CD33,0.869
CD4,IL17F,0.87
CD4,TGFB1,0.87
CD4,CCRL2,0.878
CD4,CCR6,0.88
CD4,CCL21,0.881
CD4,CD34,0.886
CD4,ITK,0.887
CD4,IFNA1,0.887
CD4,IL3RA,0.887
CD4,STAT3,0.892
CD4,GATA3,0.899
CD4,CCR2,0.909
CD4,LAG3,0.914
CD4,FN1,0.916
CD4,CD40,0.924
CD4,IL5,0.93
CD4,IL13,0.931
CD4,CD38,0.932
CD4,CD19,0.936
CD4,IL2RA,0.936
CD4,CD274,0.938
CD4,PLAT,0.942
CD4,CTLA4,0.955
CD4,CD80,0.958
CD4,IL1B,0.958
CD4,CD86,0.958
CD4,IL7R,0.96
CD4,PDCD1,0.96
CD4,IL6,0.966
CD4,TNF,0.968
CD4,IL17A,0.972
CD4,IL10,0.976
CD4,FYN,0.98
CD4,PTPRC,0.981
CD4,SYK,0.981
CD4,CD3D,0.982
CD4,CD3G,0.985
CD4,IFNG,0.991
CD4,CD3E,0.991
CD4,CD2,0.996
CD4,ERVW-1,0.996
CD4,LCK,0.999
CD4,CCR5,0.999
CD4,CD8A,0.999
CD4,CXCR4,0.999
PPP5C,BAG3,0.738
PPP5C,TSC1,0.958
PPP5C,BRAF,0.979
TNFRSF17,CD19,0.765
TNFRSF17,CD38,0.773
TNFRSF17,CD40,0.813
TNFRSF17,TNFSF13B,0.999
PKP2,MYBPC3,0.706
PKP2,LMNA,0.754
PKP2,CTNNB1,0.774
PKP2,RYR2,0.828
PKP2,TMEM43,0.933
PKP2,SCN5A,0.976
PKP2,JUP,0.991
PKP2,DSG2,0.999
PKP2,DSP,0.999
PKP2,DSC2,0.999
CD22,BTK,0.709
CD22,TNFRSF8,0.716
CD22,BLK,0.734
CD22,BCL2,0.734
CD22,CD38,0.787
CD22,PAX5,0.796
CD22,CD2,0.833
CD22,MME,0.841
CD22,MS4A1,0.928
CD22,SYK,0.959
CD22,CD79B,0.96
CD22,LYN,0.97
CD22,CD19,0.992
CD22,PTPRC,0.999
KCNQ1,TCF7L2,0.714
KCNQ1,RYR2,0.727
KCNQ1,KCNJ11,0.749
KCNQ1,IGF2R,0.782
KCNQ1,CACNA1C,0.791
KCNQ1,CDKAL1,0.833
KCNQ1,ADCY3,0.913
KCNQ1,CDKN1C,0.918
KCNQ1,KCNN4,0.936
KCNQ1,SCN5A,0.973
KCNQ1,KCNH2,0.983
KCNQ1,KCNJ2,0.992
TNFRSF1A,TNFSF4,0.7
TNFRSF1A,JAK2,0.702
TNFRSF1A,TNFRSF8,0.703
TNFRSF1A,JAK1,0.704
TNFRSF1A,ADAM17,0.721
TNFRSF1A,TNFSF11,0.723
TNFRSF1A,TNFSF15,0.734
TNFRSF1A,TP53,0.741
TNFRSF1A,MAP3K1,0.745
TNFRSF1A,TLR3,0.752
TNFRSF1A,IL2RA,0.763
TNFRSF1A,CD8A,0.766
TNFRSF1A,CCL2,0.768
TNFRSF1A,NFKBIA,0.809
TNFRSF1A,AKT1,0.817
TNFRSF1A,IL17A,0.826
TNFRSF1A,STAT3,0.829
TNFRSF1A,NFKB1,0.848
TNFRSF1A,TNFSF13B,0.857
TNFRSF1A,EGFR,0.864
TNFRSF1A,IL6R,0.916
TNFRSF1A,CD40,0.919
TNFRSF1A,IFNG,0.919
TNFRSF1A,IL1R1,0.921
TNFRSF1A,SRC,0.934
TNFRSF1A,IL10,0.968
TNFRSF1A,TRAF1,0.995
TNFRSF1A,TNIP1,0.995
TNFRSF1A,IL6,0.997
TNFRSF1A,IL1B,0.997
TNFRSF1A,TNFAIP3,0.998
TNFRSF1A,CYLD,0.999
TNFRSF1A,IKBKB,0.999
TNFRSF1A,TNF,0.999
TNFRSF1A,RIPK1,0.999
TNFRSF1A,BIRC3,0.999
TNFRSF1A,FAS,0.999
TNS1,FN1,0.756
TNS1,SRC,0.783
TNS1,VCL,0.808
SLC22A4,PADI4,0.775
SLC22A4,RUNX1,0.779
SLC22A4,NOD2,0.841
CETP,APP,0.761
CETP,HMGCR,0.781
CETP,PCSK9,0.782
CETP,NPC1L1,0.787
CETP,SCARB1,0.8
CETP,ABCA1,0.831
CETP,LPA,0.932
CETP,APOA5,0.935
CETP,LPL,0.94
CETP,APOE,0.974
CETP,APOB,0.989
LAG3,EOMES,0.703
LAG3,TNFSF4,0.713
LAG3,CCR5,0.736
LAG3,IL10,0.763
LAG3,IFNG,0.877
LAG3,SNCA,0.906
LAG3,HAVCR2,0.922
LAG3,CD8A,0.947
LAG3,PDCD1,0.95
LAG3,TIGIT,0.955
LAG3,CTLA4,0.965
LAG3,CD274,0.976
LAG3,CD86,0.979
LAG3,CD80,0.99
LAG3,LGALS9,0.993
DLL3,NOTCH2,0.998
DLD,OCA2,0.752
DLD,IDH2,0.77
DLD,IDH1,0.777
DLD,ETFA,0.833
ABCC6,VKORC1,0.824
ABCC6,GGCX,0.93
VCL,MYH11,0.706
VCL,HRAS,0.714
VCL,TTN,0.716
VCL,MAP2K1,0.72
VCL,NEXN,0.773
VCL,AKT1,0.797
VCL,ACTN2,0.858
VCL,ITGB3,0.874
VCL,PIP4K2A,0.911
VCL,GSN,0.918
VCL,DMD,0.94
VCL,TPM1,0.957
VCL,ITGB1,0.966
VCL,FN1,0.992
VCL,FLNC,0.994
VCL,CDH1,0.996
VCL,CTNNB1,0.997
VCL,SRC,0.997
MIF,IL6,0.708
MIF,PARK7,0.718
MIF,TP53,0.731
MIF,CXCL12,0.737
MIF,STAT4,0.78
MIF,CCL2,0.836
MIF,HPD,0.909
MIF,CXCR4,0.991
MYH9,GSN,0.713
MYH9,TPM1,0.765
MYH9,CALM1,0.772
MYH9,MYL3,0.893
MYH9,MYH7,0.913
MYH9,MYH6,0.913
MYH9,MYH11,0.937
MYH9,MYL2,0.964
SOS2,LCK,0.737
SOS2,SRC,0.786
SOS2,PIK3CA,0.86
SOS2,PDGFRA,0.92
SOS2,FGFR4,0.922
SOS2,PDGFRB,0.925
SOS2,RASGRP1,0.928
SOS2,FGFR2,0.933
SOS2,FGFR1,0.937
SOS2,FGFR3,0.937
SOS2,RRAS2,0.94
SOS2,MRAS,0.948
SOS2,SOS1,0.966
SOS2,NRAS,0.966
SOS2,HRAS,0.981
SOS2,KRAS,0.985
SOS2,PTPN11,0.994
SOS2,EGFR,0.998
SLC10A1,SLC22A1,0.706
SLC10A1,ERVW-1,0.798
SLC10A1,EGFR,0.853
SLC10A1,NR1H4,0.878
NFKBIA,NOD2,0.708
NFKBIA,IFNG,0.714
NFKBIA,TLR9,0.719
NFKBIA,IL10,0.72
NFKBIA,SYK,0.73
NFKBIA,BCL2,0.73
NFKBIA,IL17A,0.732
NFKBIA,EP300,0.734
NFKBIA,HIF1A,0.735
NFKBIA,CREBBP,0.741
NFKBIA,STAT3,0.741
NFKBIA,CYLD,0.743
NFKBIA,NFE2L2,0.747
NFKBIA,IFIH1,0.754
NFKBIA,CCL2,0.754
NFKBIA,PIK3R1,0.773
NFKBIA,MAP3K1,0.776
NFKBIA,SRC,0.797
NFKBIA,RIPK1,0.804
NFKBIA,FOS,0.808
NFKBIA,CD40,0.822
NFKBIA,BIRC3,0.827
NFKBIA,AKT1,0.849
NFKBIA,PTGS2,0.856
NFKBIA,TNFAIP3,0.87
NFKBIA,MALT1,0.89
NFKBIA,TP53,0.915
NFKBIA,IRAK1,0.922
NFKBIA,IL6,0.927
NFKBIA,IL1B,0.945
NFKBIA,TNF,0.967
NFKBIA,NFKBIE,0.987
NFKBIA,REL,0.999
NFKBIA,IKBKB,0.999
NFKBIA,NFKB1,0.999
PROCR,SERPINC1,0.702
PROCR,F3,0.704
PROCR,S1PR1,0.715
PROCR,F2,0.819
PROCR,SCARB1,0.83
PROCR,PROS1,0.854
PROCR,TFPI,0.86
PROCR,F7,0.915
PROCR,F10,0.958
PROCR,F2R,0.994
PROCR,PROC,0.996
SALL4,NKX2-5,0.726
SALL4,CTNNB1,0.741
SALL4,HDAC1,0.771
SALL4,TBX5,0.786
SALL4,FOXP1,0.824
SALL4,TBX3,0.829
SALL4,STAT3,0.88
TUBB1,ITGA2B,0.704
TUBB1,TUBA3C,0.711
TUBB1,TUBA1C,0.963
TUBB1,TUBA3E,0.963
TUBB1,TUBA1A,0.963
TUBB1,TUBA4A,0.964
TUBB1,TUBA1B,0.979
EEF1A2,EEF2,0.854
STAG2,TET2,0.717
STAG2,KDM6A,0.722
STAG2,ATRX,0.73
STAG2,EP300,0.794
F9,KLKB1,0.706
F9,PROC,0.72
F9,F12,0.737
F9,TFPI,0.744
F9,VKORC1,0.748
F9,F5,0.769
F9,FURIN,0.832
F9,VWF,0.915
F9,F2,0.932
F9,F10,0.953
F9,F11,0.967
F9,GGCX,0.972
F9,F7,0.984
F9,F3,0.994
F9,F8,0.997
F9,SERPINC1,0.999
GLA,AKR1B1,0.908
GLA,GAA,0.943
GLA,MGAM,0.973
GLA,GALC,0.976
DHODH,PPAT,0.711
DHODH,GART,0.758
DHODH,CPS1,0.86
DHODH,TYMP,0.864
DHODH,DHFR,0.888
DHODH,UMPS,0.999
SLC6A2,SLC22A6,0.727
SLC6A2,MAOA,0.738
SLC6A2,TH,0.771
SLC6A2,HTR1A,0.788
SLC6A2,SNCA,0.809
SLC6A2,SLC18A2,0.815
SLC6A2,SLC22A3,0.825
SLC6A2,SLC5A2,0.84
SLC6A2,ADCY7,0.84
TG,TACSTD2,0.722
TG,BRAF,0.752
TG,TSHR,0.972
TG,TPO,0.985
PLAT,CTSB,0.715
PLAT,IL6,0.737
PLAT,SELP,0.783
PLAT,TFPI,0.788
PLAT,PLAU,0.837
PLAT,FN1,0.867
PLAT,SERPINC1,0.914
PLAT,F3,0.932
PLAT,VWF,0.934
PLAT,PLG,0.998
GSR,PRDX1,0.703
GSR,KEAP1,0.712
GSR,XDH,0.733
GSR,IDH2,0.733
GSR,IDH1,0.776
GSR,NFE2L2,0.93
TGFB1,PTPRC,0.701
TGFB1,PECAM1,0.702
TGFB1,KIT,0.702
TGFB1,NFKB1,0.711
TGFB1,BMPR2,0.719
TGFB1,FOS,0.719
TGFB1,FLT1,0.727
TGFB1,JAG1,0.731
TGFB1,KDR,0.734
TGFB1,MET,0.739
TGFB1,ACVR2B,0.742
TGFB1,PDGFB,0.743
TGFB1,IGF1R,0.744
TGFB1,ZFHX3,0.763
TGFB1,ITGB3,0.764
TGFB1,PDGFRA,0.774
TGFB1,CD274,0.781
TGFB1,SRC,0.787
TGFB1,CD34,0.787
TGFB1,ALK,0.788
TGFB1,CTNNB1,0.789
TGFB1,EP300,0.793
TGFB1,CXCR4,0.794
